model	flesch_reading_ease	flesch_kincaid_grade	gunning_fog_index	smog_index	dale_chall_score	total_errors	error_rate	perplexity
textrank	21.328157894736847	19.724736842105262	23.410526315789475	19.48791578843652	12.917668421052632	8	0.042105263157894736	69.9560775756836
bart	39.9641666666667	10.997500000000002	12.333333333333336	11.855464076750408	14.363958333333334	5	0.0625	75.9500732421875
