model	flesch_reading_ease	flesch_kincaid_grade	gunning_fog_index	smog_index	dale_chall_score	total_errors	error_rate	perplexity
textrank	12.110000000000014	18.277777777777782	20.57777777777778	18.243605946275583	13.513996296296297	0	0.0	22.671520233154297
bart	36.30551470588236	11.362892156862745	14.903921568627453	13.227904075235838	13.402331372549021	1	0.009708737864077669	47.281097412109375
