model	flesch_reading_ease	flesch_kincaid_grade	gunning_fog_index	smog_index	dale_chall_score	total_errors	error_rate	perplexity
textrank	14.674652849740937	20.80182383419689	24.144663212435233	19.686211704642208	13.241526321243525	5	0.025906735751295335	47.253395080566406
bart	-8.835000000000008	18.963333333333335	22.755555555555556	18.7741	13.740133333333334	0	0.0	63.74638366699219
