model	flesch_reading_ease	flesch_kincaid_grade	gunning_fog_index	smog_index	dale_chall_score	total_errors	error_rate	perplexity
textrank	29.87615254237292	20.818	24.81220338983051	18.243605946275583	14.006433559322035	9	0.03614457831325301	28.108291625976562
bart	15.381500000000017	14.691277777777778	17.704444444444444	14.975302809339372	13.451920555555557	3	0.020833333333333332	46.81072235107422
